2021-09-06 15:32:33 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2021-09-06 15:32:34 [main] INFO  c.m.d.ServiceRegistrationAndDiscoveryServiceApplication - The following profiles are active: singleserver
2021-09-06 15:32:35 [main] WARN  o.s.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2021-09-06 15:32:35 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2721a838-7027-303b-84b9-54c843da4111
2021-09-06 15:32:35 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8761 (http)
2021-09-06 15:32:35 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8761"]
2021-09-06 15:32:35 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-09-06 15:32:35 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2021-09-06 15:32:35 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-06 15:32:35 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1140 ms
2021-09-06 15:32:35 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-09-06 15:32:35 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-09-06 15:32:35 [main] INFO  c.n.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@19827608
2021-09-06 15:32:35 [main] INFO  c.s.j.s.i.a.WebApplicationImpl - Initiating Jersey application, version 'Jersey: 1.19.4 05/24/2017 03:20 PM'
2021-09-06 15:32:36 [main] WARN  o.s.c.n.a.ArchaiusAutoConfiguration - No spring.application.name found, defaulting to 'application'
2021-09-06 15:32:36 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-09-06 15:32:36 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-09-06 15:32:36 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-09-06 15:32:36 [main] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses Jersey
2021-09-06 15:32:37 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it to the classpath.
2021-09-06 15:32:37 [main] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2021-09-06 15:32:37 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2021-09-06 15:32:37 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application SERVICE-REGISTRY-CLUSTER with eureka with status UP
2021-09-06 15:32:37 [Thread-10] INFO  o.s.c.n.e.s.EurekaServerBootstrap - Setting the eureka configuration..
2021-09-06 15:32:37 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8761"]
2021-09-06 15:32:37 [Thread-10] INFO  o.s.c.n.e.s.EurekaServerBootstrap - Eureka data center value eureka.datacenter is not set, defaulting to default
2021-09-06 15:32:37 [Thread-10] INFO  o.s.c.n.e.s.EurekaServerBootstrap - Eureka environment value eureka.environment is not set, defaulting to test
2021-09-06 15:32:37 [Thread-10] INFO  o.s.c.n.e.s.EurekaServerBootstrap - isAws returned false
2021-09-06 15:32:37 [Thread-10] INFO  o.s.c.n.e.s.EurekaServerBootstrap - Initialized server context
2021-09-06 15:32:37 [Thread-10] INFO  o.s.c.n.e.s.EurekaServerInitializerConfiguration - Started Eureka Server
2021-09-06 15:32:37 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8761 (http) with context path ''
2021-09-06 15:32:37 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8761
2021-09-06 15:32:37 [main] INFO  c.m.d.ServiceRegistrationAndDiscoveryServiceApplication - Started ServiceRegistrationAndDiscoveryServiceApplication in 4.052 seconds (JVM running for 5.269)
2021-09-06 15:32:37 [RMI TCP Connection(2)-192.168.1.154] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-09-06 15:32:37 [RMI TCP Connection(2)-192.168.1.154] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-09-06 15:32:37 [RMI TCP Connection(2)-192.168.1.154] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2021-09-06 15:40:08 [SpringContextShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application SERVICE-REGISTRY-CLUSTER with eureka with status DOWN
2021-09-06 15:40:08 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
